	artist_name	artist_id	release_name	release_id	label_name	styles	price	year	artist_page_url	gender
52	1st class	1516836	communication track	3886786-02	2ls 2 dance	balearic|downtempo	1.04	2018	/artist/dfea5431-7cd9-4a57-bfa8-07d11dc51698	
53	1st class	1516836	charity remix	3868574-02	worldwide exclusive	funky|club house	4.16	2018	/artist/dfea5431-7cd9-4a57-bfa8-07d11dc51698	
54	1st class	1516836	inspiring deeper house	1413281-02	worldwide exclusive	funky|club house	11.52	2009	/artist/dfea5431-7cd9-4a57-bfa8-07d11dc51698	
55	1st class	1516836	picking the best	1712662-02	worldwide exclusive	progressive house	2.08	2011	/artist/dfea5431-7cd9-4a57-bfa8-07d11dc51698	
56	1st class	1516836	inner inspiration	1639534-02	worldwide exclusive	progressive house	1.04	2010	/artist/dfea5431-7cd9-4a57-bfa8-07d11dc51698	
57	1st class	1516836	deep madonna	1353050-02	dj friendly	progressive house	14.56	2008	/artist/dfea5431-7cd9-4a57-bfa8-07d11dc51698	
58	1st class	1516836	the inspiring techhouse sampler	1448838-02	dj friendly	minimal|tech house	4.16	2008	/artist/dfea5431-7cd9-4a57-bfa8-07d11dc51698	
59	1st class	1516836	greatest truth (inspiring deephouse music)	2877138-02	dj friendly	minimal|tech house	4.16	2015	/artist/dfea5431-7cd9-4a57-bfa8-07d11dc51698	
60	1st class	1516836	the touch you trust (beach house music)	1600803-02	dj friendly	deep house	1.04	2010	/artist/dfea5431-7cd9-4a57-bfa8-07d11dc51698	
61	1st class	1516836	spinning beach music	1432025-02	christian	progressive house	2.08	2009	/artist/dfea5431-7cd9-4a57-bfa8-07d11dc51698	
62	1st class	1516836	1st class inspiration	1414230-02	yespiring hoe	progressive house	2.08	2009	/artist/dfea5431-7cd9-4a57-bfa8-07d11dc51698	
63	1up	4407	girls	2483093-02	na tones	deep house	2.08	2014	/artist/835e8b44-36e0-4aaf-a79c-4c5e33addf01	
64	1up	4407	skulletons ep	2463002-02	dub-all or nothing	drum and bass	2.08	2014	/artist/835e8b44-36e0-4aaf-a79c-4c5e33addf01	
65	1up	4407	wario	2308064-02	dub-all or nothing	dirty dubstep|trap|grime	1.04	2013	/artist/835e8b44-36e0-4aaf-a79c-4c5e33addf01	
66	1up	4407	extra life	2111431-02	dub-all or nothing	dirty dubstep|trap|grime	9.36	2013	/artist/835e8b44-36e0-4aaf-a79c-4c5e33addf01	
67	1up	4407	the zoo	2029778-02	dub-all or nothing	dirty dubstep|trap|grime	3.12	2012	/artist/835e8b44-36e0-4aaf-a79c-4c5e33addf01	
68	1up	4407	3000	2055307-02	dub-all or nothing	dirty dubstep|trap|grime	1.04	2012	/artist/835e8b44-36e0-4aaf-a79c-4c5e33addf01	
69	1up	4407	ghosts 'n' ghouls ep	1906233-02	dub-all or nothing	dirty dubstep|trap|grime	3.12	2012	/artist/835e8b44-36e0-4aaf-a79c-4c5e33addf01	
70	1up	4407	mechanical ep	1999532-02	dub-all or nothing	dirty dubstep|trap|grime	4.16	2012	/artist/835e8b44-36e0-4aaf-a79c-4c5e33addf01	
71	1up	4407	zombie brains ep	1752467-02	md sounds	dirty dubstep|trap|grime	4.16	2011	/artist/835e8b44-36e0-4aaf-a79c-4c5e33addf01	
72	1up	4407	what? ep	2081981-02	capital boom	dirty dubstep|trap|grime	2.08	2012	/artist/835e8b44-36e0-4aaf-a79c-4c5e33addf01	
73	1up	4407	grimed up	1753846-02	mutism	dirty dubstep|trap|grime	3.12	2011	/artist/835e8b44-36e0-4aaf-a79c-4c5e33addf01	
74	1up	4407	bloody nonsense	2091089-02	tiff	progressive house	4.16	2012	/artist/835e8b44-36e0-4aaf-a79c-4c5e33addf01	
75	1up	4407	kommando	1631813-02	1up	dirty dubstep|trap|grime	2.08	2010	/artist/835e8b44-36e0-4aaf-a79c-4c5e33addf01	
76	2 badcard	7036715	hustling ability	2834766-02	on-u sound	dub	12.48	2015	/artist/205632b6-6e49-43ef-a2d6-e7706f2a1ea1	
77	2 bit pie	7036716	here i come	2180834-02	one little n	pop	5.2	2006	/artist/ea3559bf-9664-4f75-b418-bde665e73ef7	
78	2 boys 1 girl	6288	twisted	3038774-02	baroque back catalogue	minimal|tech house	2.08	2016	/artist/77c3ab14-6805-4c61-8e97-b46713b73c83	
79	2 deep	35428	essence of soul ep	3515826-02	deephonix	deep house	4.16	2017	/artist/8a351cc9-b59f-479f-90db-97c255de25f2	
80	2 deep	35428	hood	1695211-02	double r	drum and bass	1.04	2011	/artist/8a351cc9-b59f-479f-90db-97c255de25f2	
81	2 deep	35428	tigre	3423929-02	trapstyle espanol	electro house	1.04	2017	/artist/8a351cc9-b59f-479f-90db-97c255de25f2	
82	2 deep	35428	push it	2286233-02	element	minimal|tech house	1.04	2013	/artist/8a351cc9-b59f-479f-90db-97c255de25f2	
83	2 deep	35428	don't you know	2240779-02	element	deep house	1.04	2013	/artist/8a351cc9-b59f-479f-90db-97c255de25f2	
84	2 dope	356288	who do you love	1713012-02	excessive	electro house	5.2	2011	/artist/d44ce479-5f91-4c5f-94c1-a499a80c3d47	Male
85	2 dope	356288	64k (rebooted) (the #$07de mixes)	2508682-02	minim	pop trance	6.24	2014	/artist/d44ce479-5f91-4c5f-94c1-a499a80c3d47	Male
86	2 dope	356288	the quintessential collection	2473074-02	2 dope	hip hop|r&b	15.6	2014	/artist/d44ce479-5f91-4c5f-94c1-a499a80c3d47	Male
87	2 dope	356288	you can't stop us	2315239-02	2 dope	hip hop|r&b	13.52	1998	/artist/d44ce479-5f91-4c5f-94c1-a499a80c3d47	Male
88	2 inda bush	2858	in effect	1793493-02	finger lickin'	breakbeat	2.08	2011	/artist/4e54e29c-7216-4d28-9f44-68dd2ffcd6f9	
89	2 inda bush	2858	nutty drumstick	1793350-02	finger lickin'	breakbeat	2.08	2011	/artist/4e54e29c-7216-4d28-9f44-68dd2ffcd6f9	
90	2 men strong	7036717	the beast within	2703058-02	basic beat	uplifting trance	2.08	2015	/artist/051efbe8-a794-4813-b878-ad7f6f6b7fec	
91	2 rare people	7036718	ocean (remixes)	1298694-02	dpress industries	minimal|tech house	2.08	2004	/artist/0ca847d7-5c83-4561-8d5a-8c368e5997e7	
92	2 rare people	7036718	time	1298685-02	dpress industries	minimal|tech house	2.08	2003	/artist/0ca847d7-5c83-4561-8d5a-8c368e5997e7	
93	2 rare people	7036718	ocean	1298690-02	dpress industries	minimal|tech house	2.08	2004	/artist/0ca847d7-5c83-4561-8d5a-8c368e5997e7	
94	2 rare people	7036718	time (the unreleased remixes)	1292409-02	blackout '77	minimal|tech house	2.08	2008	/artist/0ca847d7-5c83-4561-8d5a-8c368e5997e7	
95	2 rare people	7036718	time (remixes)	1298639-02	blackout '77	minimal|tech house	3.12	2005	/artist/0ca847d7-5c83-4561-8d5a-8c368e5997e7	
96	2 rare people	7036718	naked body	1298646-02	blackout '77	minimal|tech house	12.48	2005	/artist/0ca847d7-5c83-4561-8d5a-8c368e5997e7	
97	2 rare people	7036718	naked body (remixes)	1298650-02	blackout '77	electro house	2.08	2006	/artist/0ca847d7-5c83-4561-8d5a-8c368e5997e7	
98	2 rare people	7036718	estrela	1476704-02	permissive	techno	2.08	2009	/artist/0ca847d7-5c83-4561-8d5a-8c368e5997e7	
99	2 rare people	7036718	sleepless	1476706-02	permissive	progressive house	2.08	2009	/artist/0ca847d7-5c83-4561-8d5a-8c368e5997e7	
100	2 rare people	7036718	noe ep	1321147-02	v-label music	minimal|tech house	4.16	2008	/artist/0ca847d7-5c83-4561-8d5a-8c368e5997e7	
101	2 responsible	7036719	warm for a long time	3412500-02	asl singles club	deep house	3.12	2017	/artist/6eefd8de-c42d-4f9c-af9b-d5b4587ca7cc	
102	2 spare astronauts	7036720	whiskey disco digital sampler	1636591-02	whiskey disco	disco|nu-disco	6.24	2010	/artist/8b0f33fc-6368-478a-84e3-34e8fa419aa8	
103	2 stupid gods	1139578	in the dziurka ep	1739944-02	night drive music	minimal|tech house	5.2	2011	/artist/e64cb5e3-dea9-442f-a147-1d7d77db451d	
104	2 xclusive	7036721	needs more cheese	1484553-02	discoteca	funky|club house	3.12	2009	/artist/d6936596-7957-4211-af17-ab713eff78dc	
105	2 xclusive	7036721	all gone ep	1413354-02	sweet cherry	deep house	4.16	2009	/artist/d6936596-7957-4211-af17-ab713eff78dc	
106	20	7036722	da lo$t tapez	4085035-02	comatose z	hip hop|r&b	12.48	2018	/artist/bb338f2c-7a01-4cc2-8ffe-6e25bb564aec	
107	20	7036722	take my love	1560967-02	essential media	uk garage	2.08	2010	/artist/bb338f2c-7a01-4cc2-8ffe-6e25bb564aec	
108	20 fingers	7036723	short dick man	2219889-02	unidisc	funky|club house	8.32	2012	/artist/1592a0a6-c7aa-40d7-aa2d-2e3026bb85fa	
109	20 fingers	7036723	sex machine	2219881-02	unidisc	funky|club house	5.2	2012	/artist/1592a0a6-c7aa-40d7-aa2d-2e3026bb85fa	
110	20 fingers	7036723	mr personality	2219887-02	unidisc	minimal|tech house	6.24	2012	/artist/1592a0a6-c7aa-40d7-aa2d-2e3026bb85fa	
111	20 fingers	7036723	lick it	2219880-02	unidisc	funky|club house	6.24	2012	/artist/1592a0a6-c7aa-40d7-aa2d-2e3026bb85fa	
112	20 for 7	7036724	friday	1369287-02	lazy days	funky|club house	3.12	2008	/artist/df79c932-5453-4f34-9e9f-e19edab67fad	
113	20 for 7	7036724	everything	1351572-02	eq [grey]	deep house	2.08	2005	/artist/df79c932-5453-4f34-9e9f-e19edab67fad	
114	2000 lights	929552	mechanismus ep	1647658-02	rsian techno	minimal|tech house	4.16	2010	/artist/efdbd3b1-2d20-4cea-af46-dffbc1e7daba	Female
115	2030	2938589	timeworm	3144574-02	black crow	techno	5.2	2016	/artist/b35a4c40-a746-42ce-aab8-84ab9d75729f	Male
116	2030	2938589	010	2598763-02	subosc	techno	4.16	2014	/artist/b35a4c40-a746-42ce-aab8-84ab9d75729f	Male
117	20:20 vision	7036725	20:20 vision presents the future remembrance ep	1232302-02	soma	minimal|tech house	3.12	1997	/artist/138c9c93-fe63-4d81-af86-137104455f6c	
118	21st century fux	7036726	night	1266686-02	saw	progressive house	3.12	2002	/artist/da41e5b5-6597-49eb-8b2f-ac98380151a1	
119	22-20s	7036727	such a fool	3060426-02	parlophone	rock	4.16	2016	/artist/9b09674c-c950-4265-aa4a-4232adfc064c	
120	22-20s	7036727	such a fool	4093712-02	parlophone	indie	1.04	2005	/artist/9b09674c-c950-4265-aa4a-4232adfc064c	
121	23	7036728	discordia ep	1791861-02	heavy artillery	dirty dubstep|trap|grime	4.16	2011	/artist/94979f27-3492-45fb-b852-dc8e809b1ec7	
122	2400 operator	7036729	liderlige rytmer (1:3)	3894681-02	copenhagen underground posse	deep house	4.16	2018	/artist/8a03f961-884f-4780-902c-e4599266e405	
123	2400 operator	7036729	nv electro ep	2024080-02	tartelet	minimal|tech house	3.12	2012	/artist/8a03f961-884f-4780-902c-e4599266e405	
124	246	49212	hypernation	3775781-02	fusion	experimental|electronic	7.28	2018	/artist/e5a8b8e7-6320-4b44-8a4b-4b499219ad6b	Male
125	246	49212	trap tape	3417334-02	fusion	experimental|electronic	5.2	2017	/artist/e5a8b8e7-6320-4b44-8a4b-4b499219ad6b	Male
126	246	49212	portastudio	2809083-02	fusion	experimental|electronic	7.28	2015	/artist/e5a8b8e7-6320-4b44-8a4b-4b499219ad6b	Male
127	246	49212	elektrowheel	3706101-02	fusion	experimental|electronic	3.12	2018	/artist/e5a8b8e7-6320-4b44-8a4b-4b499219ad6b	Male
128	2562	462487	aerial	3585292-02	tectonic	bass	10.4	2008	/artist/5a557973-2e65-4429-a60d-a9886bfbac6a	Male
129	2562	462487	unbalance	3587403-02	tectonic	bass	13.52	2009	/artist/5a557973-2e65-4429-a60d-a9886bfbac6a	Male
130	2562	462487	embrace	2412692-02	3024	bass	2.08	2014	/artist/5a557973-2e65-4429-a60d-a9886bfbac6a	Male
131	2562	462487	love in outer space/third wave	1480697-02	tectonic	dirty dubstep|trap|grime	3.46	2009	/artist/5a557973-2e65-4429-a60d-a9886bfbac6a	Male
132	2562	462487	kameleon / channel one	3581374-02	tectonic	bass	2.08	2007	/artist/5a557973-2e65-4429-a60d-a9886bfbac6a	Male
133	2562	462487	love in outer space / third wave	3584529-02	tectonic	bass	2.08	2009	/artist/5a557973-2e65-4429-a60d-a9886bfbac6a	Male
134	2562	462487	channel two / circulate	3586532-02	tectonic	bass	2.08	2007	/artist/5a557973-2e65-4429-a60d-a9886bfbac6a	Male
135	2562	462487	aerial (album sampler 2)	3580754-02	tectonic	deep dubstep	2.08	2008	/artist/5a557973-2e65-4429-a60d-a9886bfbac6a	Male
136	2562	462487	aerial (album sampler 1)	3589503-02	tectonic	deep dubstep	2.08	2008	/artist/5a557973-2e65-4429-a60d-a9886bfbac6a	Male
137	297787	3799114	cyprus cyprus cyprus	2830822-02	top billin music	funky|club house	4.16	2015		
138	297787	3799114	short views ep	3107277-02	envy	deep house	2.08	2016		
139	2b2	7036730	copie blanche vol 2 - chatteau trompette	3578134-02	copie blanche	funky|club house	4.16	2017	/artist/6f678a9f-8c84-40e3-931f-f5ae650b1727	
140	2deepsoul	7036731	windows ep	3668654-02	inner shift music	deep house	4.16	2018	/artist/354558b7-22f0-4d67-857d-6e7728202685	
141	2deepsoul	7036731	mood sync	2512337-02	yore	deep house	3.12	2014	/artist/354558b7-22f0-4d67-857d-6e7728202685	
142	2hd	7036732	do juno	1472883-02	tsunami	uplifting trance	2.08	1998	/artist/125af11a-bb95-4300-9d6f-a220304e5e26	
143	2hd	7036732	electric skies	1472885-02	tsunami	uplifting trance	4.16	1998	/artist/125af11a-bb95-4300-9d6f-a220304e5e26	
144	2ls 2 dance	1516836	what people play: minideep house music	1728740-02	worldwide exclusive	minimal|tech house	0.95	2011	/artist/7cf5bcb6-2b2a-4d45-90d6-3f12d09949de	
145	2ls 2 dance	1516836	mutual interest	1429063-02	2ls 2 dance	minimal|tech house	2.08	2009	/artist/7cf5bcb6-2b2a-4d45-90d6-3f12d09949de	
146	2nd avenew	148	it's the new	1287166-02	alleviated	funky|club house	3.12	2007	/artist/44a2b6bd-d71e-4774-b79d-e19d365ffc01	
147	2nd avenew	148	it's the new	3520003-02	alleviated	deep house	3.12	2017	/artist/44a2b6bd-d71e-4774-b79d-e19d365ffc01	
148	2spaces	1203234	into the air	1506591-02	enhanced	uplifting trance	4.16	2010	/artist/e659f738-37e6-4be6-86f7-0957a14a5408	
149	2tall	1473889	softer diagram	1358458-02	content label	hip hop|r&b	13.52	2008	/artist/02a61df1-32f5-40cc-843d-5334df90a50c	Male
150	2tall	1473889	loose ends for divination	1254820-02	eclectic breaks	broken beat|nu jazz	5.2	2005	/artist/02a61df1-32f5-40cc-843d-5334df90a50c	Male
151	2tall	1473889	peaceful warrior	1254759-02	eclectic breaks	balearic|downtempo	12.48	2006	/artist/02a61df1-32f5-40cc-843d-5334df90a50c	Male
152	3 access & you	7036733	charisma	2384266-02	ovnimoon	uplifting trance	1.04	2014	/artist/a1d8a9ab-c167-4323-9bc7-73bedcb52d96	
153	3 access & you	7036733	back to trance	2749901-02	ovnimoon	uplifting trance	9.36	2014	/artist/a1d8a9ab-c167-4323-9bc7-73bedcb52d96	
154	3 access & you	7036733	violeta	2704169-02	lost language	uplifting trance	3.12	2015	/artist/a1d8a9ab-c167-4323-9bc7-73bedcb52d96	
155	3 access & you	7036733	psy lections (delectable psy trance selections from march 2014)	2572257-02	edm	psy|goa trance	7.28	2014	/artist/a1d8a9ab-c167-4323-9bc7-73bedcb52d96	
156	3 access & you	7036733	insolent ep	2876315-02	joof mantra	psy|goa trance	2.08	2015	/artist/a1d8a9ab-c167-4323-9bc7-73bedcb52d96	
157	3 access & you	7036733	we are one	3682080-02	lost language	uplifting trance	2.08	2015	/artist/a1d8a9ab-c167-4323-9bc7-73bedcb52d96	
158	3 access & you	7036733	machine	3388222-02	lost language	hard trance	2.08	2016	/artist/a1d8a9ab-c167-4323-9bc7-73bedcb52d96	
159	3 balearos	7036734	summer breezin'	2909325-02	chris coco	balearic|downtempo	3.12	2012	/artist/6e6baff5-5767-4d9a-8823-ff35e83f9396	
160	3 guys on warwick	7036735	let me tell you something	2073129-02	tripoli trax	hard house	2.08	1997	/artist/8d30c87b-dbf3-47f5-91e6-a0c7bd47e690	
161	313 bass mechanics	30063	313 bass mechanics	1219943-02	capital beats	electro	6.24	1998	/artist/dc0845f4-6172-4975-ae2a-1777b646c775	
162	313 bass mechanics	30063	dress to sweat	1219960-02	capital beats	breakbeat	8.32	1999	/artist/dc0845f4-6172-4975-ae2a-1777b646c775	
163	32 project	9239	root of world	2014643-02	ibadan	deep house	2.08	2003	/artist/3353e7db-98f9-4714-b1e2-0f0a74a2fbfa	Male
164	32 troop	7036736	papa malaysia/old school soldier	2837706-02	tcm	breakbeat	3.12	1992	/artist/1b26cdeb-f55e-43c5-94ec-f9d71d5b891f	
165	32 troop	7036736	mayday	2750881-02	tcm	hip hop|r&b	4.16	2014	/artist/1b26cdeb-f55e-43c5-94ec-f9d71d5b891f	
166	32 troop	7036736	undiffused devices	2750880-02	tcm	hip hop|r&b	4.16	2014	/artist/1b26cdeb-f55e-43c5-94ec-f9d71d5b891f	
167	32 troop	7036736	to the core	2798067-02	tcm	hip hop|r&b	3.12	2012	/artist/1b26cdeb-f55e-43c5-94ec-f9d71d5b891f	
168	32 troop	7036736	mayday	2959079-02	stay on target	hip hop|r&b	3.12	2015	/artist/1b26cdeb-f55e-43c5-94ec-f9d71d5b891f	
169	33canales	7036737	33minutos	1367096-02	vate	experimental|electronic	7.28	2008	/artist/ccc603db-f660-436c-8500-c00df8210a7d	
170	38	25738	money dance	4105755-02	big face	hip hop|r&b	2.08	2019	/artist/9b4203be-deb1-42a6-9971-57d86713c049	Male
171	38	25738	treat yourself	4082140-02	big face	hip hop|r&b	2.08	2019	/artist/9b4203be-deb1-42a6-9971-57d86713c049	Male
172	38	25738	wall 2 wall	4052115-02	big face	hip hop|r&b	2.08	2019	/artist/9b4203be-deb1-42a6-9971-57d86713c049	Male
173	38	25738	it iz what it iz	4038813-02	soundzz by hameed	hip hop|r&b	1.04	2019	/artist/9b4203be-deb1-42a6-9971-57d86713c049	Male
174	38	25738	designer gear	3989570-02	foundation digital	hip hop|r&b	2.08	2018	/artist/9b4203be-deb1-42a6-9971-57d86713c049	Male
175	38	25738	can't hold my tongue	3921525-02	foundation digital	hip hop|r&b	2.08	2018	/artist/9b4203be-deb1-42a6-9971-57d86713c049	Male
176	3cloneb	81131	steel gage ep	1967719-02	northbeatz digital	techno	3.12	2012		
177	3cloneb	81131	electric canibal ep	3400459-02	supersix	techno	3.12	2017		
178	3cloneb	81131	eprom ep	3401069-02	supersix	techno	4.16	2017		
179	3cloneb	81131	the ds war ep	3653142-02	supersix	techno	3.12	2018		
180	3cloneb	81131	sreottrzeuvtree - ep	2680607-02	psychocandies	techno	3.12	2015		
181	3cloneb	81131	true war ep	3528768-02	psychocandies	techno	3.12	2018		
182	3cloneb	81131	b-sides ep	4094337-02	psychocandies	techno		2019		
183	3jas	7036738	colour series: white 06 sampler	1396400-02	freerange	deep house	4.16	2009		
184	3m	7036739	shadows	3144453-02	beat werk	bass	3.12	2016	/artist/0059f11f-ee67-42c7-8df8-6a9efab071b2	
185	3m	7036739	diamond cut	2687626-02	phonix	psy|goa trance	6.24	2015	/artist/0059f11f-ee67-42c7-8df8-6a9efab071b2	
186	3m	7036739	autumn 1972 ep	1348592-02	prozak	techno	2.08	2008	/artist/0059f11f-ee67-42c7-8df8-6a9efab071b2	
187	3xm	134310	calculator	2672764-02	zoo digital	progressive house	1.04	2012		
188	3xm	134310	avalanche	2672665-02	zoo digital	uplifting trance	1.04	2012		
189	3xm	134310	alive	1911842-02	zoo digital	pop trance	3.12	2012		
190	3xm	134310	alive	1274977-02	illuminate	uplifting trance	3.12	2003		
191	3xm	134310	alive	3350621-02	zeroseven	pop trance	3.12	2017		
192	3xm	134310	calculator	3350611-02	zeroseven	hard trance	2.08	2017		
193	4 sale	7036740	big big world & believe	1397764-02	new meal power	euro dance|pop dance	4.16	2009	/artist/2bfe6e16-606d-4282-9b91-4026f8668906	
