artist_name	artist_id	release_name	release_id	label_name	styles	price	year	artist_page_url	gender	max_release_year	min_release_year	life_span	num_of_releases
a drummer from detroit	1095	drums #2	3954433-02	fit sound	deep house	3.12	2018	/artist/20c4f561-e513-4644-b78d-6b86beea91a1	Male	2018	2018	0	2
a fatter dog	2046	layers of years	3482428-02	alola	deep house	3.12	2017	/artist/decb2847-f4c8-4335-806b-8be8134a197e	Male	2017	2016	1	2
a rocket in dub	1182429	rocket no 3	2954861-02	italic	minimal|tech house	2.08	2001	/artist/dc925277-d3fb-4ba4-bde0-f2cbc4b2eda7	Male	2005	2001	4	5
aaron peacock	51514	hero ep	1858040-02	psylife	minimal|tech house	2.08	2011	/artist/233f1259-6067-40c2-bdc0-e8276e2e059a	Male	2011	2011	0	1
abject	1016421	scantraxx rootz	3071737-02	hardwithstyle	hardstyle	1.04	2016	/artist/11517bf1-389b-4d14-b5b6-6415e8854c72	Male	2016	2008	8	3
abu	7036764	fried patterns	4050311-02	timecode/sangoma	psy|goa trance	4.16	2019	/artist/51fc422a-d04b-42c3-8815-243fe4da4df6	Male	2019	2008	11	3
acid warrior	40977	acid bites ep	1234177-02	junkfood	techno	5.2	1994	/artist/0b26fd39-d4b9-46ef-8f96-b369e251d246	Male	1994	1994	0	1
adam k & soha	7036774	twilight vs breathe	3694043-02	armada	progressive house	2.08	2018	/artist/6a2aa2be-9575-4bef-8179-953aa3258031	Male	2018	2017	1	4
adam moss	57938	i'm lost	1593887-02	purple music	funky|club house	3.12	2010	/artist/7a672bfb-e00a-40a2-8330-f1c99f33ea9f	Male	2012	2010	2	2
adb	2222023	adventure	2792640-02	hitfinders	drum and bass	2.08	2015	/artist/0edbeff1-5b4f-4793-b3e3-9e9bd9c0b8d5	Male	2015	2015	0	1
add 2 basket	856425	keep a happy shop	1214018-02	add2basket	progressive house	2.08	2006	/artist/f6e67910-1e9f-4abf-9972-5165665ab74e	Male	2006	2006	0	1
adham & hisham zahran	7036775	triplets (the remixes)	1710335-02	acryl	deep house	3.12	2011	/artist/bf971009-a453-418d-a076-1e0ff351a9f6	Male	2011	2011	0	1
adny	26	the way eye see	1506442-02	plastic city	minimal|tech house	13.52	1999	/artist/c76e5365-f9af-4746-b8d9-32daa0fcab1f	Male	2009	1999	10	6
advanced waveform synthetics	7213	sham	1220048-02	electric  foundation	electro	4.16	2001	/artist/62dfc174-27cd-4618-8f53-3122423510a6	Male	2001	2001	0	1
afternoons in stereo	232011	el puma ep	1367237-02	timewarp	funk	4.16	2011	/artist/163bd272-6e13-4855-914b-dc8a099bddbe	Male	2016	2009	7	12
ahmad miller	16508	say ah!	3864843-02	stones throw	broken beat|nu jazz	6.24	2017	/artist/66acfc2b-e86c-4170-9f3e-c94b5d8f29c8	Male	2017	2017	0	1
ais	14274	even faster	3546397-02	bedroom muzik	minimal|tech house	2.08	2017	/artist/152ad2bb-1662-4ce3-9b17-7b1c2498b2c3	Male	2017	2017	0	2
aitor etxebarria	662826	markak (soundtrack from the motion picture)	3378321-02	forbidden colours	ambient|drone	10.4	2017	/artist/8c14ffb0-2fb8-49fe-b481-e1c32eefd194	Male	2017	2017	0	1
ajukaja	247732	mhmhmh	3959646-02	bergerac	deep house	4.16	2018	/artist/b47830a6-dd20-46f0-ae7b-a8dc6d91e524	Male	2018	2006	12	6
akhenaton	278266	conte de la frustration	1650252-02	361	hip hop|r&b	13.52	2010	/artist/55808e24-5150-4abd-b86b-7c3d7a080da3	Male	2010	2008	2	2
al storm	6104	back to the beat vol 2	4049410-02	technique	drum and bass	3.12	2019	/artist/18df98a3-ae93-4e12-b44e-9a8c14778a0a	Male	2019	2002	17	105
al twisted & dj jfx	7036804	let's get wet	1198926-02	quosh	uk hardcore	2.08	2005	/artist/be1d8395-32ba-4818-b2ca-c5764bf555a7	Male	2005	2005	0	1
alan fitzpatrick & jon gurd	7036806	electric love	1957040-02	8 sided dice	techno	2.08	2012	/artist/5fdbe54d-7a81-410b-b734-85de65dba41b	Male	2012	2012	0	1
alan oldham	1108	ratchet traxx	3375085-02	bpitch control	techno	4.16	2017	/artist/0a1cec82-9cc5-44fc-a013-4acc71e21bd2	Male	2017	2017	0	1
alberto pascual	3885147	10 years of selected records part 8	3835687-02	selected	techno	5.2	2018	/artist/a033b19b-a567-4486-8c82-8ce183112d7a	Male	2018	2008	10	17
alberto sanchez	911183	inspired 07	1899639-02	inspired	techno	4.16	2012	/artist/c92448b3-f2a8-4716-81bb-19de1f5bbc35	Male	2012	2012	0	1
alec chizhik & markus mehta	7036809	a kind of kling klong vol 3	1727768-02	kling klong	minimal|tech house	4.16	2011	/artist/31aafa1d-3205-42ec-98ed-124503ce6969	Male	2017	2008	9	4
aleksandar von zimmer	246582	hirne	3030966-02	android muziq	techno	4.16	2016	/artist/b9376163-305b-40e0-bdd0-22b0f7488f1d	Male	2016	2016	0	1
aleph-1	178718	aleph-1	3415361-02	raster-noton	experimental|electronic	9.36	2007	/artist/70f8fd23-2eb1-4f22-b91e-63ad62cebe61	Male	2007	2007	0	1
alessandro viale	285103	black	2686800-02	bang	progressive house	1.04	2015	/artist/fd271462-d588-495b-be7b-81a34bcc363f	Male	2015	2009	6	5
alessio caforio	3774503	funky jungle	2186598-02	vamos	minimal|tech house	3.12	2013	/artist/0f5f8dee-2b8d-4257-945f-73160c533147	Male	2015	2009	6	10
alex calver	896116	are you sure ep	3983466-02	apex	techno	3.12	2018	/artist/01e4323c-1a16-4ada-9211-320537624f5c	Male	2018	2004	14	31
alex colle	4255796	la minore	1505951-02	netswork digital	funky|club house	6.24	2009	/artist/5a538b8d-69a4-48f0-981c-0d09918544d6	Male	2012	2009	3	4
alex cordiner	1298772	black jack	1214085-02	huff	deep house	1.04	2005	/artist/87395f03-4fca-4041-89c0-7505d6a8a0fe	Male	2005	2005	0	1
alex finkin & reverend p	7036810	those days are gone	4072122-02	vega	deep house	8.32	2009	/artist/ba30c73f-b6d0-4399-80a0-864b85dc1350	Male	2010	2009	1	2
alex jarvis	2309942	love just ep	2813759-02	blaq	minimal|tech house	3.12	2015	/artist/9476e476-f3d5-43ab-99d4-69d028af0435	Male	2015	2015	0	1
alex koenig	1995953	rockin' sequences	2650275-02	sequence distribution	breakbeat	10.4	2014	/artist/37160529-5afb-4c3a-8de5-ad44dd633cdb	Male	2014	2012	2	3
alex peace	50876	round & round	4047176-02	guesthoe	funky|club house	1.04	2019	/artist/85bb69b9-cf7f-4ea0-9288-d07302e66e75	Male	2019	1998	21	34
alex volkov	3414395	voodoo	3939930-02	visiomind	psy|goa trance	1.04	2018	/artist/1c6055a4-7720-417b-a57e-b4e34b785955	Male	2018	2018	0	3
alexander babaev	3341128	propaganda moscow: act iv	3700929-02	propaganda moscow	techno	4.16	2018	/artist/f88900db-29d4-495e-9651-ec362f4f5b87	Male	2018	2018	0	1
alexander lewis	2790099	omni. (deluxe edition)	3992554-02	lowly	hip hop|r&b	13.52	2018	/artist/de94e5a7-6c6d-4f48-aa1b-0a176c295cc1	Male	2018	2013	5	4
alexey gordiyenko	1159931	future in the past ep	1353943-02	keep on techno	techno	3.12	2008	/artist/5e4eb628-bc2d-4976-8203-bd901cb5d575	Male	2009	2008	1	3
alfonso ciavoli cortelli	2470300	smooth criminal	4008028-02	ciacofon	deep house	6.24	2019	/artist/12725da2-7509-4425-9036-9c99c14e59d5	Male	2019	2015	4	29
ali wilson & matt smallwood	7036813	watchmaker sampler 3	1298009-02	tekelec	techno	4.16	2008	/artist/1ac710c8-2072-4736-ba33-76f79bebd012	Male	2008	2007	1	2
alican & soner	1041617	manna	1215674-02	toes in the sand	progressive house	2.08	2006	/artist/64b3afa3-0c97-4381-bfc5-720d7112cafd	Male	2006	2006	0	2
alien radio	4636	binary stream	2059955-02	geomagnetic	psy|goa trance	3.12	2012	/artist/f4259b17-1762-4f4b-902a-ff07a8fa4f66	Male	2012	2012	0	1
alien rain	1306174	the arrival	4063042-02	ufo	techno	4.16	2019	/artist/eaa99b54-d0a0-4320-b854-f5e2ecb666c0	Male	2019	2012	7	9
already	1516836	christian house	1484775-02	christian	minimal|tech house	2.08	2009	/artist/4a12bd3c-ada6-4740-b26a-35d38a3befb0	Male	2009	2009	0	1
alt fenster	1721233	clipee	2865783-02	hivern discs	funky|club house	4.16	2009	/artist/6f1bd22a-220e-47f9-9a56-76b115031188	Male	2013	2007	6	4
amba	98	play your favourite song	1902548-02	phonetic	funky|club house	3.12	2012	/artist/41a4f481-b244-405c-a02c-c163e44bd56b	Male	2012	2012	0	1
amberflame	105522	tropic of capricorn	3046949-02	claremont 56	balearic|downtempo	1.04	2016	/artist/f90fb8d0-94f5-46ca-aea5-c2f01f586d1c	Male	2016	2006	10	4
amen andrews	253	news of the world	3680281-02	blueberry	drum and bass	4.16	2014	/artist/aeb3b38e-ea9c-4068-8d14-e0d2cbaecfaa	Male	2014	2014	0	1
ampa	7036837	pa versus chaos	4024792-02	filigran	balearic|downtempo	10.4	2019	/artist/1b62df85-00d2-464f-81bc-a5c0cdcad278	Male	2019	2019	0	1
amrint keen	2295502	transient loss of response	4025061-02	uncanny valley	deep house	4.16	2019	/artist/e5bd8be4-7980-4384-b936-5e28ab069799	Male	2019	2018	1	2
analogue man	1023	fulfilled ambitions	1495915-02	djax-up-beats	techno	4.16	2009	/artist/8c29ac9c-9b09-463f-93fb-c07b4b42a386	Male	2009	2009	0	1
anax	477822	the classics	1937573-02	code vision	psy|goa trance	7.28	2012	/artist/c66bad59-5be4-49df-97c9-14624da8f50a	Male	2014	2012	2	2
anders trentemÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ°ller	117914	copenhagen	1363785-02	maxroxx	electro house	2.08	2008	/artist/95e9aba6-f85c-48a0-9ec9-395d4f0e3875	Male	2008	2008	0	1
andras fox	5187920	erskine falls	2244598-02	home loan	broken beat|nu jazz	4.16	2013	/artist/1589f8ac-cc0d-416b-af5b-fe9708cd1294	Male	2013	2013	0	1
andrea benini	335316	drumphilia vol 1	3793994-02	agogo	broken beat|nu jazz	12.48	2018	/artist/9799f8f9-1440-4bb9-b064-4ab99cab0c10	Male	2018	2018	0	2
andrea riberti	5064237	el sabor ep	1457758-02	percia	deep house	5.2	2009	/artist/c5a0a216-c33c-42dc-92b8-4b60236f8dad	Male	2015	2009	6	2
andreas bender	146330	the traveller ep	3889589-02	poolside	minimal|tech house	7.28	2018	/artist/fd42f50b-d33b-48d0-8d3a-8bc17bb2ba24	Male	2018	2017	1	2
andrew l	5034001	traffic	2135277-02	distorted audio	minimal|tech house	1.04	2013	/artist/9f3e3f6d-fd20-47c4-9077-b07cda7735d9	Male	2013	2013	0	1
andrew si	156887	free spirits	3867296-02	stik	techno	2.08	2018	/artist/bc6b6b22-8787-4d86-bef8-227eba127344	Male	2018	2018	0	4
andro & dimit	1638085	polar ep	1485184-02	mandms	deep house	3.12	2009	/artist/204ea077-3c59-436e-bd49-d3e7ac39fdde	Male	2010	2009	1	2
andy c & shimon	7036844	body rock/orient express	3852105-02	ram	drum and bass	2.08	2001	/artist/ec853694-30a1-4c7e-84e6-4ca87ee3c314	Male	2001	2001	0	1
andy edit	1502382	unreleased dubs vol 3	4022225-02	wiggly worm	deep house	4.16	2019	/artist/1b10928e-d6ee-4a98-ad2a-4b935a12d9f8	Male	2019	2015	4	10
andy fosberry	4546332	the moments we are lost	4098347-02	3rd & debut	balearic|downtempo	7.28	2019	/artist/16869dca-7ae9-49ac-bf60-33a9158a81db	Male	2019	2018	1	5
andy jenkinson	20390	the crisp chronicles	3878720-02	waltzer	experimental|electronic	14.56	2006	/artist/74cbf383-579d-4e3b-982b-046de415ee3c	Male	2017	2006	11	2
angel 21	7036847	flow	3527566-02	g	uk garage	4.16	2017	/artist/d5eae87e-6307-4aaf-8ebc-86e10b258499	Male	2017	2012	5	2
angelo elettronico	1750089	flwr	1579434-02	miniscalk	minimal|tech house	2.08	2010	/artist/e5d7b80a-fd9f-4509-b03b-984873a1d31b	Male	2010	2010	0	1
anis hachemi	1085995	audiomassage	2896663-02	303 lovers	minimal|tech house	4.16	2015	/artist/a9263af2-37bb-43cc-b236-d892e23e5a1e	Male	2016	2015	1	5
anno stamm	761961	fragmentsa	2176770-02	all city	experimental|electronic	3.12	2013	/artist/ebe0a9d8-887f-4185-ae05-406ee6fe89dd	Male	2017	2013	4	6
anthony child	1114	electronic recordings from maui jungle vol 2	3276210-02	editions mego	ambient|drone	14.56	2016	/artist/82b6f868-75c8-4014-b86c-d67472b8b384	Male	2018	2013	5	4
antoine rouge	659308	spook juke ep	2633727-02	crimes of the future	deep house	4.16	2014	/artist/dca15eaf-4afe-49a4-90eb-95d0eda27086	Male	2014	2014	0	1
aparatec	1012899	vemeer ep	4034119-02	erased tapes	experimental|electronic	5.2	2007	/artist/339aafd9-c365-47c4-a80a-df8a3d6a9e2e	Male	2007	2007	0	1
aphro pzyko	521584	guerillero	1317383-02	raw fusion	broken beat|nu jazz	2.08	2008	/artist/244c9414-079a-4e2b-906a-464a65fc92ff	Male	2008	2008	0	1
apogee	3402	shimmering	1248374-02	captivating sounds	uplifting trance	2.08	2006	/artist/d4cea710-4aa8-4da3-b413-fef659a4c466	Male	2010	2005	5	3
aqua-tek	1598455	self-replicating	1367398-02	re	drum and bass	4.16	2008	/artist/165f723a-742d-4af9-95e8-2df0f18d45b9	Male	2008	2008	0	1
aquarius	417	soulquencies	3667999-02	scrub a dub	deep dubstep	6.24	2018	/artist/5c306718-2648-4897-a673-609722dbf3cf	Male	2018	2014	4	3
arcade mode	126954	your love	1336963-02	joia	electro house	2.08	2004	/artist/fce7a964-aea3-44bb-95f8-c420ae494c2c	Male	2016	2004	12	4
arrow	11399	pure	4004477-02	paulstar	progressive house	1.04	2019	/artist/2ddfac74-e28c-4041-8810-fee1e45ec508	Male	2019	2007	12	4
art of trance	7197	firebird	3273069-02	platipus	uplifting trance	5.2	2016	/artist/78ac5900-dd56-4e93-9a43-08efa9412f18	Male	2017	2002	15	32
as one	8702	de:10.01	4006823-02	de:tuned	broken beat|nu jazz	3.12	2019	/artist/a15ed039-7967-4bf9-b660-7aa89471f9fb	Male	2019	1997	22	7
asteroidz	7036883	the world of sound	2832238-02	unite	hardstyle	2.08	2015	/artist/fde85212-9b8f-4dc1-926b-c43cba2a39ad	Male	2016	2005	11	10
astrokid	7036885	they all look different	1204503-02	grand h	uk hardcore	4.16	1995	/artist/b435a839-e500-41e4-8b77-73871d4e7d2a	Male	1995	1995	0	1
atlus	4081944	ssss-3	4078000-02	sulta selects silver service	deep house	2.08	2019	/artist/06267db3-02d3-4d51-aea8-2005ee90839c	Male	2019	2015	4	2
atom	3661	soul	3915691-02	borderline audio	minimal|tech house	2.08	2018	/artist/a874e630-134c-4450-97c4-54e596404290	Male	2018	1996	22	36
atom ant	1141688	ricochete	1697195-02	audaz	disco|nu-disco	4.16	2011	/artist/fd8b8ee0-bc44-46d7-bd3c-93771fa8bf71	Male	2011	2011	0	1
audio al	2980166	mancha electronic edition part 1	1554950-02	mancha	minimal|tech house	4.16	2010	/artist/f6bf05a4-1846-4f32-92cf-9281f8c1f284	Male	2010	2008	2	3
audio one	6969	be my love	2721875-02	dnz	scouse house	1.04	2015	/artist/f6bf05a4-1846-4f32-92cf-9281f8c1f284	Male	2015	2008	7	2
audio tech	1102	swerve	1454175-02	rococo	progressive house	2.08	2009	/artist/e624ce6f-4c62-4629-89ad-1e3365ae56f9	Male	2009	2009	0	1
audiomontage	582	naughty neighbour	1349941-02	freerange	deep house	3.12	2008	/artist/629605d3-70fb-4665-9bce-c283a2aa0f5c	Male	2009	2008	1	8
auftrieb	16162	speicher 1	1345082-02	kompakt	techno	4.16	2001	/artist/70b65509-0200-4e3e-b978-d2b3c4d4b270	Male	2001	2001	0	1
auto repeat	10802	the unbearable lightness of autorepeating	1280167-02	ssr/crammed	techno	13.52	1998	/artist/6f147924-cb55-44f5-96d3-be5d148d74c0	Male	1998	1998	0	1
automatt	3557549	springtime	1555999-02	main	minimal|tech house	3.12	2009	/artist/80c44682-89a1-4ac1-810e-ef3e1e0f4040	Male	2009	2009	0	2
automne	1142329	srl	3558471-02	believe	electro	3.12	2017	/artist/fab09bcd-8f40-4b55-bad6-b275d810def5	Male	2017	2017	0	1
aviation	693239	eye see everything	2304806-02	spintwist	psy|goa trance	3.12	2013	/artist/fda3d2be-c00c-4214-94e5-dc104b352580	Male	2016	2013	3	3
axel bartsch & asem shama	7036908	drumfiles 1	1668951-02	spiel-zeug schallplatten	minimal|tech house	2.08	2001	/artist/7b1a8002-be51-45ac-b085-9293ed67adbd	Male	2001	2001	0	1
ayman	3709519	midnight storyteller	1310551-02	cyberset	balearic|downtempo	10.4	2006	/artist/6e6cd05b-ed88-49ad-9094-38b0d6b60318	Male	2006	1995	11	2
aztech	28847	time to shine	3872449-02	we r	hardstyle	1.04	2018	/artist/a65a55ff-94b9-4271-a573-6a6e7e77474a	Male	2018	2014	4	7
azure	7036913	dominatin'	3928367-02	psychocybin	dirty dubstep|trap|grime	1.04	2018	/artist/00a5fd31-41fa-43a2-9d95-126578c8e8e6	Male	2018	2007	11	4
b&r	59991	shut yo mouth bi $h (remixes)	2509954-02	audioplay	disco|nu-disco	3.12	2014	/artist/1550f952-c91b-40d7-9b4d-d26a259ee932	Male	2014	2014	0	1
b&s	7036914	just look around	1362444-02	coffee bar	funky|club house	4.16	2008	/artist/1550f952-c91b-40d7-9b4d-d26a259ee932	Male	2008	2008	0	1
b&w	7036915	mistaken	1248238-02	a state of trance	uplifting trance	2.08	2005	/artist/1550f952-c91b-40d7-9b4d-d26a259ee932	Male	2017	2005	12	3
baby ford & the ifach collective	7036920	sacred machine	1214428-02	baby ford	minimal|tech house	16.06	1998	/artist/da0d0eb4-cf77-44af-8f50-d8c30f10ba0c	Male	1998	1996	2	3
balistic	3293	upgrade the noize (remix)	2328161-02	tillt!	hardstyle	1.04	2013	/artist/3272a361-d7b5-405c-8e71-ba37c6413587	Male	2013	2013	0	1
bao	526150	crop duster	1367790-02	renaissance	progressive house	2.08	2007	/artist/d28505a3-0d69-4764-ab2b-95e28ebfe3fd	Male	2017	2007	10	4
barada	1519	aciiieeed! no 2	3320773-02	communique a	techno	4.16	2017	/artist/1ee456e4-81b8-4db4-a766-46b99c5fd29d	Male	2017	2007	10	2
bass-funk-tion	7036951	fast car	3891760-02	grand	uk garage	1.04	2018	/artist/543fd8d5-4d88-4750-b3f8-3b9387666ca7	Male	2018	2018	0	1
bassboy	1535768	drifting	3904724-02	coil	uk garage	1.04	2018	/artist/f936d385-6573-474e-bfaa-18b1c64ef2a5	Male	2018	2015	3	12
bb	7036959	good enough	3280223-02	media	funky|club house	4.16	2009	/artist/dcb03ce3-67a5-4eb3-b2d1-2a12d93a38f3	Male	2015	2009	6	2
bbii	983	red giant	1757394-02	fresh up	funk	2.08	2011	/artist/5780b5fc-9d0e-4da3-879d-70728b9359a8	Male	2014	2010	4	4
beard in dust	1327537	baltic beaches	3509144-02	whiskey disco	disco|nu-disco	3.12	2017	/artist/158fd0f8-af50-4ae3-ae53-4e8e6b63c244	Male	2017	2013	4	2
beat access	945130	the flow	2239416-02	undiscovered	funky|club house	1.04	2013	/artist/c7ed7e7b-8a04-43bf-a1a4-00dbabbd43ae	Male	2013	2013	0	1
beat diddy	1003079	1252	2859669-02	sub society	minimal|tech house	1.04	2015	/artist/cabb4fcf-4067-4ba5-908d-76ee66fcf0c6	Male	2015	2015	0	1
beat pharmacy	260650	inside job	2109876-02	throne of blood	deep house	4.16	2012	/artist/36946a1b-4c1b-44bf-af9b-641f83546461	Male	2017	2005	12	19
beat spacek	91315	modern streets	2626511-02	ninja tune	experimental|electronic	13.52	2015	/artist/f9150e0b-80b5-4d34-8d18-b9f2f6661512	Male	2015	2015	0	3
beato cozzi	203851	cruddas park ep	2943708-02	magic feet	disco|nu-disco	4.16	2015	/artist/27a9cd14-19e2-41db-857d-f4817c6803d3	Male	2015	2015	0	1
bekelÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ berhanu	4678845	conspiraciann progresso	3241316-02	halcyon veil	experimental|electronic	5.2	2016	/artist/4a650dca-9caa-4a26-a9cb-793c3468d715	Male	2016	2016	0	2
ben & sadar's	7036977	we are righteous people	3550653-02	rush hour	disco|nu-disco	2.08	2017	/artist/49b1871b-f03b-4b9f-a852-c78188a13b05	Male	2017	2017	0	1
ben balance	5231754	5 years of valioso recordings	4017170-02	valioso	minimal|tech house	5.2	2019	/artist/d25429b9-4182-4fd4-8179-c178aa12b42f	Male	2019	2019	0	1
benny berigan	2282919	caravan ep	1436657-02	music for dreams	broken beat|nu jazz	3.12	2009	/artist/8502205a-6a8d-4ad9-9bf4-9d21a43fcc28	Male	2009	2009	0	1
benny pecoraio	1691457	sueno	1342110-02	bar coda	funky|club house	2.08	2008	/artist/6a538679-26f9-4103-9549-7c476b6ceef9	Male	2008	2008	0	1
berk	423241	badman	3914508-02	wasp	electro house	1.04	2018	/artist/082c5564-02ec-4845-8cfb-a81410420230	Male	2018	2018	0	1
bernard fevre	77004	black devil disco club presents: the strange new world of bernard fevre	1467118-02	lo	disco|nu-disco	14.56	2009	/artist/97e12ca8-a79b-4d9e-9272-a099f3c658c2	Male	2016	2009	7	5
bernd krull	355105	peloton ep	1686041-02	rotonal	minimal|tech house	4.16	2011	/artist/b49740ad-aef7-413b-ae95-fe21a3f08e87	Male	2011	2009	2	2
bernd maus	44980	deepentertained	1444071-02	statik entertainment	deep house	2.08	2009	/artist/51aef8d4-0aed-492b-831f-936c48fd470a	Male	2013	2009	4	2
beto narme	354615	mutiple choice	1587425-02	sublime porte	dirty dubstep|trap|grime	4.16	2010	/artist/59bec72c-7298-4401-af84-62c1687966e8	Male	2010	2010	0	1
betrieb	15493	schlechte vorbilder ep	1214534-02	klang elektronik	minimal|tech house	4.16	1998	/artist/28b53438-1f34-4a9d-a234-aa8fb51792c2	Male	2000	1997	3	4
big bang theory	46467	do u got funk? (gianni bini remix)	3819338-02	big love	funky|club house	1.04	2018	/artist/ba4b389e-df2d-4811-938e-e4591c7015de	Male	2018	2003	15	6
big daddy rick	1098	players club vol 1	1219724-02	capital beats	electro	8.32	1997	/artist/6a8c823c-4401-4bde-92aa-9ae7a8c77493	Male	2008	1995	13	7
big monster	2113123	the machine	1216238-02	fat!	breakbeat	2.08	2006	/artist/8b9789f2-1cc5-4e39-9abe-a59d166f9b27	Male	2006	2006	0	1
bill & ben	7036998	south of the river	1503999-02	dubmission	dub	16.64	2010	/artist/8247a3f2-3a8e-4256-b322-6c57b03a4e36	Male	2010	2010	0	1
billions & billions	7036999	the dance	2047285-02	new	balearic|downtempo	2.08	2012	/artist/e002a009-b294-40dc-9b65-c1cb35158103	Male	2012	2012	0	1
binary	4601560	terminal, magnetic pulse	3898594-02	rtout	drum and bass	2.08	2018	/artist/0e41ae4e-1bec-4737-9c2c-445771ee2b1e	Male	2018	2009	9	28
bio booster	513210	textures series 1	1197606-02	stark	techno	4.16	2005	/artist/32fbb6e4-c355-4d00-ba57-3db5c227aaee	Male	2005	2005	0	1
bio-nic	16845	da vibe/el calor	1229137-02	epos	funky|club house	4.16	2006	/artist/5d9f6e03-8773-476e-b163-d1c1dd975cd6	Male	2006	2006	0	1
bionic breaker	1396538	def mission (the album)	4077405-02	binalog>>>	electro	8.32	2019	/artist/c353913b-fdb2-426d-a5b9-5b1591ace527	Male	2019	2014	5	19
bk & andy farley	7037008	accelerate	2112859-02	nukleuz	hard trance	2.08	2003	/artist/28d7452b-c83b-4f43-98af-e233a146f59d	Male	2012	2003	9	4
bkr	7037009	fly ep	3341069-02	17 steps	techno	4.16	2017	/artist/3789d8b4-0d0b-47ab-849e-938f8e98bc82	Male	2017	2005	12	8
bkr projekt	214668	saffron ep	3026811-02	bkr projekt	techno	4.16	2015	/artist/3789d8b4-0d0b-47ab-849e-938f8e98bc82	Male	2015	2015	0	1
black deer	2224581	the last remixes	2710985-02	emotional response	deep house	4.16	2015	/artist/5d6f87d9-3ab3-4c88-affe-c7303c69d5a7	Male	2017	2013	4	4
black odyssey	67226	wild cards 02	3959295-02	pursuit	techno	6.24	2018	/artist/088b412f-3c48-48e1-b120-34ba1f3a4d6a	Male	2018	2018	0	1
black riot	24567	a day in the life	4103744-02	fourth floor	deep house	1.04	2019	/artist/0fcbf911-0a7d-4934-a59f-14e134f9ae51	Male	2019	2009	10	6
blademasterz	439312	scantraxx 023	1555354-02	scantraxx reloaded	hardstyle	1.04	2006	/artist/45a9966a-12bf-49f6-9016-8fc857e0f10d	Male	2010	2006	4	3
bleed turquoise	150835	bleed turquoise	3835170-02	other/other	industrial|noise	7.28	2018	/artist/b68bc1e2-f0f0-47c2-a446-d0d91440660a	Male	2018	2018	0	2
blind truth	4158	why can't we see	3249693-02	minimal	funky|club house	3.12	2016	/artist/24c41f77-74cf-4b8a-9177-3a64e33fc6c5	Male	2016	2016	0	2
bloodfire	35891	illusion ep	4073351-02	dogfight	hardstyle	2.08	2019	/artist/16f6b756-1e53-48bb-ac2c-3f4459d30053	Male	2019	2012	7	4
blt	278967	death rattle	1380393-02	g13	drum and bass	2.08	2009	/artist/94f5be93-41a7-436e-8b23-cd87dff1ed8c	Male	2016	2008	8	10
blue meche	7037043	it's my beat	1288051-02	stop and go	electro house	3.12	2007	/artist/f35a5bb5-b27d-46f9-b45a-1184f4c73b12	Male	2008	2007	1	2
